"release","Webpack","Webpack (not minified)","Webpack (Babel)","Turbopack"
"v14.0.5-canary.41","fail","fail","fail","success"
"v14.0.5-canary.40","fail","fail","fail","success"
"v14.0.5-canary.39","fail","fail","fail","success"
"v14.0.5-canary.38","fail","fail","fail","success"
"v14.0.5-canary.37","fail","fail","fail","success"
"v14.0.5-canary.36","fail","fail","fail","success"
"v14.0.5-canary.35","fail","fail","fail","success"
"v14.0.5-canary.34","fail","fail","fail","success"
"v14.0.5-canary.33","fail","fail","fail","success"
"v14.0.5-canary.32","fail","fail","fail","success"
"v14.0.5-canary.31","fail","fail","fail","success"
"v14.0.5-canary.30","fail","fail","fail","success"
"v14.0.5-canary.29","fail","fail","fail","success"
"v14.0.5-canary.28","fail","fail","fail","success"
"v14.0.5-canary.27","fail","fail","fail","success"
"v14.0.5-canary.26","fail","fail","fail","success"
"v14.0.5-canary.25","fail","fail","fail","success"
"v14.0.5-canary.24","fail","fail","fail","success"
"v14.0.5-canary.23","fail","fail","fail","success"
"v14.0.5-canary.22","fail","fail","fail","success"
"v14.0.5-canary.21","fail","fail","fail","success"
"v14.0.5-canary.20","fail","fail","fail","success"
"v14.0.5-canary.19","fail","fail","fail","success"
"v14.0.5-canary.18","fail","fail","fail","success"
"v14.0.5-canary.17","fail","fail","fail","success"
"v14.0.5-canary.16","fail","fail","fail","success"
"v14.0.5-canary.14","fail","fail","fail","success"
"v14.0.5-canary.13","fail","fail","fail","success"
"v14.0.5-canary.9","fail","fail","fail","success"
"v14.0.5-canary.12","fail","fail","fail","success"
"v14.0.5-canary.11","fail","fail","fail","success"
"v14.0.5-canary.10","fail","fail","fail","success"
"v14.0.5-canary.8","fail","fail","fail","success"
"v14.0.5-canary.7","fail","fail","fail","success"
"v14.0.5-canary.6","fail","fail","fail","success"
"v14.0.5-canary.5","fail","fail","fail","success"
"v14.0.5-canary.4","fail","fail","fail","success"
"v14.0.5-canary.3","fail","fail","fail","success"
"v14.0.5-canary.2","fail","fail","fail","success"
"v14.0.5-canary.1","fail","fail","fail","success"
"v14.0.5-canary.0","fail","fail","fail","success"
"v14.0.4","fail","fail","fail","success"
"v14.0.4-canary.49","fail","fail","fail","success"
"v14.0.4-canary.48","fail","fail","fail","success"
"v14.0.4-canary.47","fail","fail","fail","success"
"v14.0.4-canary.46","fail","fail","fail","success"
"v14.0.4-canary.45","fail","fail","fail","success"
"v14.0.4-canary.44","fail","fail","fail","success"
"v14.0.4-canary.43","fail","fail","fail","success"
"v14.0.4-canary.42","fail","fail","fail","success"
"v14.0.4-canary.41","fail","fail","fail","success"
"v14.0.4-canary.40","fail","fail","fail","success"
"v14.0.4-canary.39","fail","fail","fail","success"
"v14.0.4-canary.38","fail","fail","fail","success"
"v14.0.4-canary.37","fail","fail","fail","success"
"v14.0.4-canary.36","fail","fail","fail","success"
"v14.0.4-canary.35","fail","fail","fail","success"
"v14.0.4-canary.34","fail","fail","fail","success"
"v14.0.4-canary.33","fail","fail","fail","success"
"v14.0.4-canary.32","fail","fail","fail","success"
"v14.0.4-canary.31","fail","fail","fail","success"
"v14.0.4-canary.30","fail","fail","fail","success"
"v14.0.4-canary.29","fail","fail","fail","success"
"v14.0.4-canary.28","fail","fail","fail","success"
"v14.0.4-canary.27","fail","fail","fail","success"
